open_time,open,high,low,close,volume
1732052340000,92075.99,92108.0,91916.0,91939.98,56.24606
1732052400000,91939.98,92056.0,91909.09,91948.47,36.63837
1732052460000,91948.48,92058.08,91928.0,92036.8,14.93106
1732052520000,92036.81,92112.66,92036.8,92112.0,16.95497
1732052580000,92112.0,92112.0,92000.0,92019.86,22.75048
1732052640000,92019.86,92087.53,92004.01,92087.51,6.27035
1732052700000,92087.51,92153.85,92020.0,92153.85,32.49596
1732052760000,92153.84,92248.56,92090.9,92098.91,16.95154
1732052820000,92098.92,92110.73,92031.08,92059.99,28.05815
1732052880000,92059.99,92244.0,92059.98,92243.33,15.76696
1732052940000,92243.33,92292.19,92243.32,92260.0,16.09292
1732053000000,92260.0,92323.96,92250.0,92279.37,10.08788
1732053060000,92279.37,92388.54,92279.37,92362.49,25.66965
1732053120000,92362.49,92378.7,92316.0,92335.82,20.46075
1732053180000,92335.82,92336.0,92309.51,92335.99,7.65413
1732053240000,92335.99,92362.52,92323.68,92342.37,16.30875
1732053300000,92342.37,92396.0,92336.8,92396.0,4.4807
1732053360000,92396.0,92414.6,92360.0,92414.6,6.54912
1732053420000,92414.59,92414.6,92324.0,92326.07,9.38035
1732053480000,92326.07,92340.0,92250.0,92281.28,27.24277
1732053540000,92281.28,92319.48,92188.0,92196.82,19.00925
1732053600000,92196.82,92319.91,92188.94,92319.3,12.23073
1732053660000,92319.29,92333.34,92272.72,92333.34,15.52084
1732053720000,92333.34,92379.78,92310.19,92310.19,6.69305
1732053780000,92310.06,92310.06,92242.42,92244.03,14.89351
1732053840000,92244.03,92253.0,92192.04,92238.99,8.18001
1732053900000,92238.99,92282.61,92204.01,92260.01,19.20395
1732053960000,92260.02,92260.02,92204.0,92219.21,6.23818
1732054020000,92219.21,92292.0,92219.21,92250.75,10.16396
1732054080000,92250.75,92250.76,92212.12,92228.0,8.04401
1732054140000,92228.0,92239.0,92215.98,92236.0,8.5773
1732054200000,92236.0,92250.76,92221.7,92250.75,5.6537
1732054260000,92250.75,92372.26,92250.75,92348.01,24.97902
1732054320000,92348.01,92424.25,92332.07,92372.0,14.26268
1732054380000,92371.99,92372.0,92320.02,92337.2,24.73768
1732054440000,92337.21,92399.97,92337.2,92360.14,30.10983
1732054500000,92360.14,92360.14,92240.32,92240.32,23.22055
1732054560000,92240.32,92319.99,92220.0,92319.99,11.36746
1732054620000,92319.99,92415.99,92287.64,92344.01,30.51617
1732054680000,92344.01,92344.01,92250.0,92250.0,10.86498
1732054740000,92250.01,92264.01,92136.55,92136.55,24.78221
1732054800000,92136.55,92170.54,92100.0,92163.99,21.351
1732054860000,92163.99,92180.0,92108.0,92116.48,11.59479
1732054920000,92116.47,92122.67,92074.69,92074.69,15.87526
1732054980000,92074.69,92074.7,91906.0,91908.44,62.41813
1732055040000,91908.43,91978.93,91908.43,91974.6,5.75204
1732055100000,91974.6,92082.41,91974.59,92004.52,14.18325
1732055160000,92004.52,92004.53,91895.0,91895.0,11.86625
1732055220000,91895.0,92000.0,91894.99,91999.99,8.28011
1732055280000,91999.99,92024.0,91952.12,91980.43,28.74245
1732055340000,91980.43,91980.44,91891.15,91922.87,43.17743
1732055400000,91922.87,91922.88,91848.56,91848.56,51.31742
1732055460000,91848.55,91857.14,91649.98,91664.18,134.29089
1732055520000,91664.18,91697.41,91500.0,91507.99,108.85454
1732055580000,91507.99,91571.99,91500.0,91556.03,107.25106
1732055640000,91556.03,91740.56,91556.02,91712.0,28.93568
1732055700000,91712.0,91743.59,91577.05,91592.86,26.1048
1732055760000,91592.86,91632.35,91543.04,91579.65,19.49664
1732055820000,91579.66,91579.66,91320.0,91492.59,146.74239
1732055880000,91492.59,91499.58,91350.0,91411.7,83.81398
1732055940000,91411.7,91591.18,91411.69,91580.79,35.7236
1732056000000,91580.79,91580.8,91472.0,91472.01,15.28628
1732056060000,91472.01,91618.07,91428.0,91618.07,14.19647
1732056120000,91618.06,91618.07,91584.52,91607.04,17.3884
1732056180000,91607.04,91713.85,91607.03,91665.53,24.94291
1732056240000,91665.53,91710.34,91665.53,91709.8,8.21503
1732056300000,91709.8,91724.82,91651.14,91673.86,18.35692
1732056360000,91673.85,91699.75,91641.02,91694.08,19.3235
1732056420000,91694.09,91798.18,91694.08,91798.18,16.74062
1732056480000,91798.18,91818.93,91767.04,91814.98,17.97073
1732056540000,91814.98,91814.98,91785.15,91785.16,12.70855
1732056600000,91785.15,91796.24,91776.11,91785.22,7.82924
1732056660000,91785.22,91785.26,91739.28,91739.28,9.54497
1732056720000,91739.27,91739.28,91667.71,91671.32,20.65143
1732056780000,91671.32,91671.33,91570.9,91570.9,17.82594
